home_team,away_team,bet,country,date,is_correct,season,coef,chance,value
SO Cholet,US Orléans,3,france national,2021-10-08 17:00:00,True,2021-2022,3.0,0.3057587487562435,0.9172762462687305
SO Cholet,US Orléans,0,france national,2021-10-08 17:00:00,False,2021-2022,2.35,0.40277743423223283,0.9465269704457472
SO Cholet,US Orléans,1,france national,2021-10-08 17:00:00,False,2021-2022,3.16,0.2914638170115238,0.9210256617564152
LB Châteauroux,US Concarneau,3,france national,2021-10-08 17:00:00,False,2021-2022,2.1,0.46666506466834823,0.9799966358035314
LB Châteauroux,US Concarneau,0,france national,2021-10-08 17:00:00,True,2021-2022,3.8,0.2288879257059564,0.8697741176826342
LB Châteauroux,US Concarneau,1,france national,2021-10-08 17:00:00,False,2021-2022,2.98,0.3044470096256954,0.9072520886845722
Stade Briochin,FC Villefranche-Beaujolais,3,france national,2021-10-08 17:00:00,False,2021-2022,3.49,0.27728990756002425,0.9677417773844847
Stade Briochin,FC Villefranche-Beaujolais,0,france national,2021-10-08 17:00:00,False,2021-2022,2.25,0.39835904646705206,0.8963078545508671
Stade Briochin,FC Villefranche-Beaujolais,1,france national,2021-10-08 17:00:00,True,2021-2022,2.88,0.3243510459729235,0.9341310124020197
FC Sète 34,Stade Lavallois,3,france national,2021-10-08 17:00:00,False,2021-2022,3.51,0.2665126819234305,0.9354595135512409
FC Sète 34,Stade Lavallois,0,france national,2021-10-08 17:00:00,True,2021-2022,2.2,0.4383875426843512,0.9644525939055727
FC Sète 34,Stade Lavallois,1,france national,2021-10-08 17:00:00,False,2021-2022,2.94,0.2950997753922183,0.8675933396531218
UE Cornellà,Real Madrid Castilla,3,spain primera-rfef,2021-10-08 17:00:00,True,2021-2022,2.82,0.33192600255021726,0.9360313271916126
UE Cornellà,Real Madrid Castilla,0,spain primera-rfef,2021-10-08 17:00:00,False,2021-2022,2.39,0.37232178878234073,0.8898490751897944
UE Cornellà,Real Madrid Castilla,1,spain primera-rfef,2021-10-08 17:00:00,False,2021-2022,3.24,0.295752208667442,0.9582371560825121
US Créteil-Lusitanos,US Boulogne,3,france national,2021-10-08 17:00:00,True,2021-2022,3.03,0.31258031631211924,0.9471183584257212
US Créteil-Lusitanos,US Boulogne,0,france national,2021-10-08 17:00:00,False,2021-2022,2.51,0.374806326919869,0.9407638805688711
US Créteil-Lusitanos,US Boulogne,1,france national,2021-10-08 17:00:00,False,2021-2022,2.86,0.31261335676801183,0.8940742003565137
Le Mans FC,FC Chambly,3,france national,2021-10-08 17:00:00,True,2021-2022,1.89,0.511620305862951,0.9669623780809774
Le Mans FC,FC Chambly,0,france national,2021-10-08 17:00:00,False,2021-2022,4.08,0.19932906610515005,0.8132625897090122
Le Mans FC,FC Chambly,1,france national,2021-10-08 17:00:00,False,2021-2022,3.31,0.28905062803189896,0.9567575787855855
US Avranches,Red Star FC,3,france national,2021-10-08 17:00:00,False,2021-2022,3.04,0.3108323997673246,0.9449304952926667
US Avranches,Red Star FC,0,france national,2021-10-08 17:00:00,True,2021-2022,2.34,0.3997846931318661,0.9354961819285667
US Avranches,Red Star FC,1,france national,2021-10-08 17:00:00,False,2021-2022,3.08,0.2893829071008094,0.891299353870493
Bilbao Athletic,Celta Vigo B,3,spain primera-rfef,2021-10-08 17:00:00,False,2021-2022,2.22,0.42177720603748714,0.9363453974032215
Bilbao Athletic,Celta Vigo B,0,spain primera-rfef,2021-10-08 17:00:00,True,2021-2022,3.04,0.27711850556977446,0.8424402569321143
Bilbao Athletic,Celta Vigo B,1,spain primera-rfef,2021-10-08 17:00:00,False,2021-2022,3.31,0.3011042883927383,0.9966551945799638
Tranmere Rovers,Colchester United,3,england league-two,2021-10-08 18:45:00,True,2021-2022,1.96,0.5129122737568583,1.0053080565634422
Tranmere Rovers,Colchester United,0,england league-two,2021-10-08 18:45:00,False,2021-2022,4.14,0.208842830055678,0.8646093164305069
Tranmere Rovers,Colchester United,1,england league-two,2021-10-08 18:45:00,False,2021-2022,3.23,0.27824489618746373,0.8987310146855079
Real Valladolid CF,Málaga CF,3,spain laliga2,2021-10-08 19:00:00,False,2021-2022,1.69,0.583589504553316,0.9862662626951041
Real Valladolid CF,Málaga CF,0,spain laliga2,2021-10-08 19:00:00,False,2021-2022,5.77,0.16256869765518586,0.9380213854704224
Real Valladolid CF,Málaga CF,1,spain laliga2,2021-10-08 19:00:00,True,2021-2022,3.49,0.2538417977914981,0.8859078742923285
SKA Khabarovsk,Baltika Kaliningrad,3,russia fnl,2021-10-09 05:00:00,False,2021-2022,2.34,0.40303521832829875,0.943102410888219
SKA Khabarovsk,Baltika Kaliningrad,0,russia fnl,2021-10-09 05:00:00,True,2021-2022,3.11,0.2841882497488993,0.8838254567190768
SKA Khabarovsk,Baltika Kaliningrad,1,russia fnl,2021-10-09 05:00:00,False,2021-2022,3.08,0.31277653192280197,0.9633517183222301
Enisey Krasnoyarsk,Rotor Volgograd,3,russia fnl,2021-10-09 10:00:00,False,2021-2022,2.48,0.3680320664610387,0.9127195248233759
Enisey Krasnoyarsk,Rotor Volgograd,0,russia fnl,2021-10-09 10:00:00,False,2021-2022,2.71,0.3219094780652133,0.872374685556728
Enisey Krasnoyarsk,Rotor Volgograd,1,russia fnl,2021-10-09 10:00:00,True,2021-2022,3.34,0.31005845547374805,1.0355952412823184
Forest Green Rovers,Swindon Town,3,england league-two,2021-10-09 11:00:00,False,2021-2022,1.86,0.5211004074626048,0.9692467578804449
Forest Green Rovers,Swindon Town,0,england league-two,2021-10-09 11:00:00,True,2021-2022,4.07,0.20414932397079466,0.8308877485611343
Forest Green Rovers,Swindon Town,1,england league-two,2021-10-09 11:00:00,False,2021-2022,3.64,0.27475026856660056,1.000090977582426
Veles Moscow,FK Krasnodar 2,3,russia fnl,2021-10-09 11:00:00,True,2021-2022,1.82,0.5286827627320367,0.9622026281723068
Veles Moscow,FK Krasnodar 2,0,russia fnl,2021-10-09 11:00:00,False,2021-2022,4.31,0.19402995209022464,0.8362690935088681
Veles Moscow,FK Krasnodar 2,1,russia fnl,2021-10-09 11:00:00,False,2021-2022,3.41,0.2772872851777386,0.9455496424560886
Spartak 2 Moscow ( -2022),Akron Togliatti,3,russia fnl,2021-10-09 12:00:00,False,2021-2022,2.51,0.3698566709056093,0.9283402439730792
Spartak 2 Moscow ( -2022),Akron Togliatti,0,russia fnl,2021-10-09 12:00:00,True,2021-2022,2.81,0.31524171740423473,0.8858292259058996
Spartak 2 Moscow ( -2022),Akron Togliatti,1,russia fnl,2021-10-09 12:00:00,False,2021-2022,3.15,0.3149016116901559,0.9919400768239911
FC Pro Vercelli 1892,Feralpisalò,3,italy serie-c,2021-10-09 12:30:00,False,2021-2022,2.3,0.4071342131470301,0.9364086902381691
FC Pro Vercelli 1892,Feralpisalò,0,italy serie-c,2021-10-09 12:30:00,True,2021-2022,3.08,0.27959929725499555,0.8611658355453863
FC Pro Vercelli 1892,Feralpisalò,1,italy serie-c,2021-10-09 12:30:00,False,2021-2022,3.11,0.3132664895979743,0.9742587826497001
Tekstilshchik Ivanovo,Tom Tomsk,3,russia fnl,2021-10-09 13:00:00,False,2021-2022,3.02,0.3138177681926908,0.9477296599419263
Tekstilshchik Ivanovo,Tom Tomsk,0,russia fnl,2021-10-09 13:00:00,False,2021-2022,2.38,0.38376497116201175,0.9133606313655879
Tekstilshchik Ivanovo,Tom Tomsk,1,russia fnl,2021-10-09 13:00:00,True,2021-2022,3.12,0.3024172606452974,0.9435418532133278
Sheffield Wednesday,Bolton Wanderers,3,england league-one,2021-10-09 14:00:00,True,2021-2022,2.35,0.384347497876683,0.9032166200102051
